Data;13522 - Índice nacional de preços ao consumidor - amplo (IPCA) - em 12 meses - %
01/2010;4,59
02/2010;4,83
03/2010;5,17
04/2010;5,26
05/2010;5,22
06/2010;4,84
07/2010;4,60
08/2010;4,49
09/2010;4,70
10/2010;5,20
11/2010;5,63
12/2010;5,91
01/2011;5,99
02/2011;6,01
03/2011;6,30
04/2011;6,51
05/2011;6,55
06/2011;6,71
07/2011;6,87
08/2011;7,23
09/2011;7,31
10/2011;6,97
11/2011;6,64
12/2011;6,50
01/2012;6,22
02/2012;5,84
03/2012;5,24
04/2012;5,10
05/2012;4,99
06/2012;4,92
07/2012;5,20
08/2012;5,24
09/2012;5,28
10/2012;5,45
11/2012;5,53
12/2012;5,84
01/2013;6,15
02/2013;6,31
03/2013;6,59
04/2013;6,49
05/2013;6,50
06/2013;6,70
07/2013;6,27
08/2013;6,09
09/2013;5,86
10/2013;5,84
11/2013;5,77
12/2013;5,91
01/2014;5,59
02/2014;5,68
03/2014;6,15
04/2014;6,28
05/2014;6,37
06/2014;6,52
07/2014;6,50
08/2014;6,51
09/2014;6,75
10/2014;6,59
11/2014;6,56
12/2014;6,41
01/2015;7,14
02/2015;7,70
03/2015;8,13
04/2015;8,17
05/2015;8,47
06/2015;8,89
07/2015;9,56
08/2015;9,53
09/2015;9,49
10/2015;9,93
11/2015;10,48
12/2015;10,67
01/2016;10,71
02/2016;10,36
03/2016;9,39
04/2016;9,28
05/2016;9,32
06/2016;8,84
07/2016;8,74
08/2016;8,97
09/2016;8,48
10/2016;7,87
11/2016;6,99
12/2016;6,29
01/2017;5,35
02/2017;4,76
03/2017;4,57
04/2017;4,08
05/2017;3,60
06/2017;3,00
07/2017;2,71
08/2017;2,46
09/2017;2,54
10/2017;2,70
11/2017;2,80
12/2017;2,95
01/2018;2,86
02/2018;2,84
03/2018;2,68
04/2018;2,76
05/2018;2,86
06/2018;4,39
07/2018;4,48
08/2018;4,19
09/2018;4,53
10/2018;4,56
11/2018;4,05
12/2018;3,75
01/2019;3,78
02/2019;3,89
03/2019;4,58
04/2019;4,94
05/2019;4,66
06/2019;3,37
07/2019;3,22
08/2019;3,43
09/2019;2,89
10/2019;2,54
11/2019;3,27
12/2019;4,31
01/2020;4,19
02/2020;4,01
03/2020;3,30
04/2020;2,40
05/2020;1,88
06/2020;2,13
07/2020;2,31
08/2020;2,44
09/2020;3,14
10/2020;3,92
11/2020;4,31
12/2020;4,52
01/2021;4,56
02/2021;5,20
03/2021;6,10
04/2021;6,76
05/2021;8,06
06/2021;8,35
07/2021;8,99
08/2021;9,68
09/2021;10,25
10/2021;10,67
11/2021;10,74
12/2021;10,06
01/2022;10,38
02/2022;10,54
03/2022;11,30
04/2022;12,13
05/2022;11,73
06/2022;11,89
07/2022;10,07
08/2022;8,73
09/2022;7,17
10/2022;6,47
11/2022;5,90
12/2022;5,79
01/2023;5,77
02/2023;5,60
03/2023;4,65
04/2023;4,18
05/2023;3,94
06/2023;3,16
07/2023;3,99
08/2023;4,61
09/2023;5,19
10/2023;4,82
11/2023;4,68
12/2023;4,62
01/2024;4,51
02/2024;4,50
03/2024;3,93
04/2024;3,69
05/2024;3,93
06/2024;4,23
07/2024;4,50
08/2024;4,24
09/2024;4,42
10/2024;4,76
11/2024;4,87
12/2024;4,83
01/2025;4,56
02/2025;5,06
03/2025;5,48
04/2025;5,53
05/2025;5,32
06/2025;5,35
07/2025;5,23
08/2025;5,13
09/2025;5,17
10/2025;4,68
11/2025;4,46
12/2025;4,26
01/2026;4,44
Fonte;IBGE
